1,根室半島チャシ跡群,北海道,根室市
2,五稜郭,北海道,函館市
3,松前城,北海道,松前町
4,弘前城,青森県,弘前市
5,根城,青森県,八戸市
6,盛岡城,岩手県,盛岡市
7,多賀城,宮城県,多賀城市
8,仙台城,宮城県,仙台市
9,久保田城,秋田県,秋田市
10,山形城,山形県,山形市
11,二本松城,福島県,二本松市
12,会津若松城,福島県,会津若松市
13,白河小峰城,福島県,白河市
14,水戸城,茨城県,水戸市
15,足利氏館,栃木県,足利市
16,箕輪城,群馬県,高崎市
17,金山城,群馬県,太田市
18,鉢形城,埼玉県,寄居町
19,川越城,埼玉県,川越市
20,佐倉城,千葉県,佐倉市
21,江戸城,東京都,千代田区
22,八王子城,東京都,八王子市
23,小田原城,神奈川県,小田原市
24,武田氏館 武田神社,山梨県,甲府市
25,甲府城,山梨県,甲府市
26,松代城,長野県,長野市
27,上田城,長野県,上田市
28,小諸城,長野県,小諸市
29,松本城,長野県,松本市
30,高遠城,長野県,伊那市
31,新発田城,新潟県,新発田市
32,春日山城,新潟県,上越市
33,高岡城,富山県,高岡市
34,七尾城,石川県,七尾市
35,金沢城,石川県,金沢市
36,丸岡城,福井県,坂井市
37,一乗谷城,福井県,福井市
38,岩村城,岐阜県,恵那市
39,岐阜城,岐阜県,岐阜市
40,山中城,静岡県,三島市
41,駿府城,静岡県,静岡市
42,掛川城,静岡県,掛川市
43,犬山城,愛知県,犬山市
44,名古屋城,愛知県,名古屋市
45,岡崎城,愛知県,岡崎市
46,長篠城,愛知県,新城市
47,伊賀上野城,三重県,伊賀市
48,松阪城,三重県,松阪市
49,小谷城,滋賀県,長浜市
50,彦根城,滋賀県,彦根市
51,安土城,滋賀県,近江八幡市
52,観音寺城,滋賀県,近江八幡市
53,二条城,京都府,京都市
54,大坂城,大阪府,大阪市
55,千早城,大阪府,千早赤阪村
56,竹田城,兵庫県,朝来市
57,篠山城,兵庫県,篠山市
58,明石城,兵庫県,明石市
59,姫路城,兵庫県,姫路市
60,赤穂城,兵庫県,赤穂市
61,高取城,奈良県,高取町
62,和歌山城,和歌山県,和歌山市
63,鳥取城,鳥取県,鳥取市
64,松江城,島根県,松江市
65,月山富田城,島根県,安来市
66,津和野城,島根県,津和野町
67,津山城,岡山県,津山市
68,備中松山城,岡山県,高梁市
69,鬼ノ城,岡山県,総社市
70,岡山城,岡山県,岡山市
71,福山城,広島県,福山市
72,吉田郡山城,広島県,安芸高田市
73,広島城,広島県,広島市
74,岩国城,山口県,岩国市
75,萩城,山口県,萩市
76,徳島城,徳島県,徳島市
77,高松城,香川県,高松市
78,丸亀城,香川県,丸亀市
79,今治城,愛媛県,今治市
80,湯築城,愛媛県,松山市
81,松山城,愛媛県,松山市
82,大洲城,愛媛県,大洲市
83,宇和島城,愛媛県,宇和島市
84,高知城,高知県,高知市
85,福岡城,福岡県,福岡市
86,大野城,福岡県,大野城市
87,名護屋城,佐賀県,唐津市
88,吉野ヶ里遺跡,佐賀県,吉野ヶ里町
89,佐賀城,佐賀県,佐賀市
90,平戸城,長崎県,平戸市
91,島原城,長崎県,島原市
92,熊本城,熊本県,熊本市
93,人吉城,熊本県,人吉市
94,大分府内城,大分県,大分市
95,岡城,大分県,竹田市
96,飫肥城,宮崎県,日南市
97,鹿児島城,鹿児島県,鹿児島市
98,今帰仁城,沖縄県,今帰仁村
99,中城城,沖縄県,中城村
100,首里城,沖縄県,那覇市
